taxon_name_from	taxon_name_to	Match_type	taxon_id (if not in DynTaxa)	Note
Hydroider1	Hydrozoa	felstav		
Hydroider2	Hydrozoa	felstav		
Hydroides norvegicus	Hydroides norvegica	Exact		
Hydromedusae	Hydrozoa	antag felstav		
HYDROPTILA SP.	Hydroptila	felstav		
HYDROPTILIDAE	Hydroptilidae	felstav		
Hydrozoa/Bryozoa	Animalia			
Hyperidae	Hyperiidae	felstav		
Idotea baltica	Idotea balthica	felstav		
IDOTEA SP.	Idotea	felstav		
Idothea	Idotea	Exact		
INSECTA	Insecta	felstav		
Invertebrata	Animalia	Special		
Isoetes	Isoëtes	Exact		
Isoetes echinospora	Isoëtes echinospora	Exact		
JAERA SP.	Jaera	felstav		
Jassa falcata	Jassa marmorata	OK	243627	
Katablepharis remigera	Kathablepharis remigera	Exact		
Kathablepharis	Katablepharis	Exact		
Kelliella abyssicola	Kelliella miliaris	OK	249545	
Keratella cochlearis recurvispina	Keratella cochlearis cochlearis	exact		
Keratella cruciformis eichwaldi	Keratella eichwaldi	exact		
Keratella crusiformis	Keratella cruciformis	antag felstav		
Keratella quadrata platei	Keratella quadrata			
Kirchneriella contorta	Raphidocelis danubiana	exact		
Kofoidinium velelloides	Kofoidinium velleloides	Exact		
Labidoplax buski	Labidoplax buskii	Exact		
Lagisca elisabethae	Harmothoe impar	exact		
Lagisca extenuata	Harmothoe extenuata			
Lagisca floccosa propinqua	Harmothoe propinqua	Exact		
Lagisca propinqua	Harmothoe propinqua	Exact		
Lamellibranchia	Bivalvia	OK	4000057	
Lamellibranchiata	Bivalvia	Exact		
Laminaria saccharina	Saccharina latissima	Exact		
Lamprops fasciata	Lamprops fasciatus	antag felstav		
Laonome kroeyeri	Laonome kroyeri	Exact		
Leanira tetragona	Neoleanira tetragona	Exact		
Leathesia difformis	Leathesia marina	Exact		
Legaardiella	Leegaardiella	antag felstav		
Lembos longipes	Autonoe longipes	Exact		
Lemmermannia komarekii	Crucigenia lauterbornii	Exact		
LEPIDOPTERA	Lepidoptera	felstav		
LEPTOCERIDAE	Leptoceridae	felstav		
Leptocheirus pilosus	Leptocheirus hirsutimanus	OK	243533	
Leptodora kindtii	Leptodora kindti	antag felstav		
Leptognathia brevimanus	Araphura brevimanus	Exact		
Leptognathia filiformis	Araphura filiformis	Exact		
Leucon	Leucon (Leucon)	OK	245434	
Leucon acutirostris	Leucon (Leucon) acutirostris	Exact		
Leucon nasica	Leucon (Leucon) nasica	Exact		
Leucon pallidus	Leucon (Alytoleucon) pallidus	Exact		
Leucosolenia botryides	Leucosolenia botryoides	Exact		
Leucothoe lilljeborgi	Leucothoe lilljeborgii	Exact		
Levensenia gracilis	Levinsenia gracilis	antag felstav		
Liljeborgia brevicornis	Liljeborgia pallida	antag felstav		
Lilljeborgia macronyx	Liljeborgia macronyx	felstav		
LIMAPONTIA SP.	Limapontia	felstav		
Limea loscombii	Limaria loscombi	Exact		
Limecola balthica	Macoma balthica	Exact		
LIMNEPHILIDAE	Limnephilidae	felstav		
LIMNEPHILUS SP.	Limnephilus	felstav		
Lingulodinium polyedrum	Lingulodinium polyedra	Exact		
Liocarcinus /Polybius	Polybiidae			
Liocarcinus/Polybius	Polybiidae			
Lipobranchus jeffreysi	Lipobranchius jeffreysii	antag felstav		
Lipobranchus jeffreysii	Lipobranchius jeffreysii	Exact		
Lithothamnion / Phymatolithon /Hildenbrandia / Pseudolithoderma	Algae	antag felstav		
Lithothamnion / Phymatolithon /Hildenbrandia / Pseudolithoderma	Lithothamnion/Phymatolithon/Hildenbrandia/Pseudolithoderma			
Littorinimorpha (e.g. Rissoa / Peringia)	Littorinimorpha	antag felstav		
lohmanniella	Lohmanniella	felstav		
Lophelia pertusa	Desmophyllum pertusum	Exact		
Lora reticulata	Curtitoma trevelliana	Exact		
Lucina borealis	Lucinoma borealis	Exact		
Luidia sarsii	Luidia sarsi	Exact		
Lumbrinereis	Lumbrineris	Exact		
Lumbrinereis fragilis	Scoletoma fragilis	antag felstav		
Lumbrinereis scopa aequilobata	Abyssoninoe hibernica			
